Contracting (Egypt-KSA-Global),,,
,action_id,action_name,action_wait
Edit,72,Mobile Problem,0.028
Edit,73,Software laptop problem,0.0315
Edit,74,Hardware Checkup laptop problem or any other devices in computer mall,0.1875
Edit,75,prepare purchase order,0.0625
Edit,76,Sending request purchase order to purchasing department,0.028
Edit,77,prepare payment order for accounting Dept,0.028
Edit,78,Solve problem in device which still under certifcate of guarantee by contacting with support and do the steps,0.0625
Edit,79,check with support if they can solve it online or they need visit,0.0416
Edit,80,Solving the technical problems of the Main Office Staff if they have any problem,0.028
Edit,81,check system Events(Access Controll),0.03125
Edit,82,Management the system(Access Controll),0.03125
Edit,83,Check system Events(Surveillance Cameras),0.0625
Edit,84,Management the system(Surveillance Cameras),0.0937
Edit,85,Check system Events(UBS Server),0.03125
Edit,86,Management the system(UBS Server),0.03125
Edit,87,Check system Events(Fire Alarm),0.03125
Edit,88,Management the system(Fire Alarm),0.03125
Edit,89,Check system Events(Domain Server),0.125
Edit,90,Management the system(Domain Server),0.125
Edit,91,Check system Events (HI Soft server),0.125
Edit,92,Management the system(HI Soft Server),0.125
Edit,93,Check system Events (Recording System),0.0937
Edit,94,Management the system(Recording System),0.125
Edit,95,Check system Events (AVAYA server),0.1875
Edit,96,Management the system(AVAYA Servers),0.1875
Edit,97,Check system Events(FortiGate firewall ),0.1875
Edit,98,Management the system(FortiGate firewall ),0.25
Edit,99,Check system Events(Switches),0.03125
Edit,100,Management the system(Switches),0.03125
Edit,101,analyze wireless Network(Access points Controller),0.0187
Edit,102,Management the access points(Access points Controller),0.0187
Edit,103,check Routers,0.125
Edit,104,Management the routers,0.01
Edit,105,check rack temperatures,0.01
Edit,107,End,0
Edit,108,Special Action,0
Edit,109,inhouse system Report,0.1875
Edit,110,Training,0
Edit,111,Management the system (CSG server ),0.125
Edit,112,backup recording server,0.0625
Edit,113,backup CSG server,0.0625
Edit,114,Check system Events(CSG server ),0.0625
Edit,115,Check system Events(VoiceMail server),0.125
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Internet dep,,,
,,,
,,,
,action_id,action_name,action_wait
Edit,1,test,0
Edit,2,End,0
Edit,3,Training(New Commers),0.375
Edit,4,Support,0.125
Edit,5,Development,0.125
Edit,6,Create action,0.010416
Edit,7,Create User,0.010416
